,date,cases_Afghanistan ,cases_Albania ,cases_Algeria ,cases_Andorra ,cases_Argentina ,cases_Armenia ,cases_Australia ,cases_Austria ,cases_Azerbaijan ,cases_Bahrain ,cases_Bangladesh ,cases_Belarus ,cases_Belgium ,cases_Bhutan ,cases_Bolivia ,cases_Bosnia and Herzegovina ,cases_Brazil ,cases_Brunei ,cases_Bulgaria ,cases_Burkina Faso ,cases_Cambodia ,cases_Cameroon ,cases_Canada ,cases_Chile ,cases_China ,cases_Colombia ,cases_Congo (Kinshasa) ,cases_Costa Rica ,cases_Cote d'Ivoire ,cases_Croatia ,cases_Cuba ,cases_Cyprus ,cases_Czechia ,cases_Denmark ,cases_Dominican Republic ,cases_Ecuador ,cases_Egypt ,cases_Estonia ,cases_Finland ,cases_France ,cases_French Guiana ,cases_Georgia ,cases_Germany ,cases_Greece ,cases_Guyana ,cases_Honduras ,cases_Hungary ,cases_Iceland ,cases_India ,cases_Indonesia ,cases_Iran ,cases_Iraq ,cases_Ireland ,cases_Israel ,cases_Italy ,cases_Jamaica ,cases_Japan ,cases_Jordan ,"cases_Korea, South ",cases_Kuwait ,cases_Latvia ,cases_Lebanon ,cases_Liechtenstein ,cases_Lithuania ,cases_Luxembourg ,cases_Malaysia ,cases_Maldives ,cases_Malta ,cases_Martinique ,cases_Mexico ,cases_Moldova ,cases_Monaco ,cases_Mongolia ,cases_Morocco ,cases_Nepal ,cases_Netherlands ,cases_New Zealand ,cases_Nigeria ,cases_North Macedonia ,cases_Norway ,cases_Oman ,cases_Pakistan ,cases_Panama ,cases_Paraguay ,cases_Peru ,cases_Philippines ,cases_Poland ,cases_Portugal ,cases_Qatar ,cases_Reunion ,cases_Romania ,cases_Russia ,cases_San Marino ,cases_Saudi Arabia ,cases_Senegal ,cases_Serbia ,cases_Singapore ,cases_Slovakia ,cases_Slovenia ,cases_South Africa ,cases_Spain ,cases_Sri Lanka ,cases_Sweden ,cases_Switzerland ,cases_Taiwan* ,cases_Thailand ,cases_Togo ,cases_Tunisia ,cases_Turkey ,cases_US ,cases_Ukraine ,cases_United Arab Emirates ,cases_United Kingdom ,cases_Vietnam 
0,2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0
1,2020-01-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,1,0,0,0,2
2,2020-01-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,5,0,0,0,2,0,0,0,2
3,2020-01-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,7,0,0,0,2,0,0,0,2
4,2020-01-26,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,8,0,0,0,5,0,0,0,2
5,2020-01-27,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,5,8,0,0,0,5,0,0,0,2
6,2020-01-28,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,5509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,1,0,0,8,14,0,0,0,5,0,0,0,2
7,2020-01-29,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,6087,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,4,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,1,0,0,8,14,0,0,0,5,0,4,0,2
8,2020-01-30,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,8141,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,11,0,4,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,1,0,0,9,14,0,0,0,5,0,4,0,2
9,2020-01-31,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,9802,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,5,0,0,0,0,0,1,0,0,0,0,0,2,0,15,0,11,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,13,0,0,0,0,1,1,0,10,19,0,0,0,7,0,4,2,2
10,2020-02-01,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,11891,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,8,0,0,0,0,0,1,0,0,0,0,0,2,0,20,0,12,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,16,0,0,0,1,1,1,0,10,19,0,0,0,8,0,4,2,6
11,2020-02-02,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,16630,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,10,0,0,0,0,0,2,0,0,0,0,0,2,0,20,0,15,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,18,0,0,0,1,1,1,0,10,19,0,0,0,8,0,5,2,6
12,2020-02-03,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,19716,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,12,0,0,0,0,0,3,0,0,0,0,0,2,0,20,0,15,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,18,0,0,0,1,1,1,0,10,19,0,0,0,11,0,5,2,8
13,2020-02-04,0,0,0,0,0,0,13,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,4,0,23707,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,12,0,0,0,0,0,3,0,0,0,0,0,2,0,22,0,16,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,24,0,0,0,1,1,1,0,11,25,0,0,0,11,0,5,2,8
14,2020-02-05,0,0,0,0,0,0,13,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,5,0,27440,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,12,0,0,0,0,0,3,0,0,0,0,0,2,0,22,0,19,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,28,0,0,0,1,1,1,0,11,25,0,0,0,11,0,5,2,8
15,2020-02-06,0,0,0,0,0,0,14,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,5,0,30587,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,12,0,0,0,0,0,3,0,0,0,0,0,2,0,45,0,23,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,28,0,0,0,1,1,1,0,16,25,0,0,0,11,0,5,2,10
16,2020-02-07,0,0,0,0,0,0,15,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,7,0,34110,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,13,0,0,0,0,0,3,0,0,0,0,0,3,0,25,0,24,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,30,0,0,0,1,1,1,0,16,25,0,0,0,11,0,5,3,10
17,2020-02-08,0,0,0,0,0,0,15,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,7,0,36814,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,0,0,13,0,0,0,0,0,3,0,0,0,0,0,3,0,25,0,24,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,33,0,0,0,1,1,1,0,17,32,0,0,0,11,0,7,3,13
18,2020-02-09,0,0,0,0,0,0,15,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,7,0,39829,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,0,0,14,0,0,0,0,0,3,0,0,0,0,0,3,0,26,0,25,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,40,0,0,0,2,1,1,0,18,32,0,0,0,11,0,7,3,13
19,2020-02-10,0,0,0,0,0,0,15,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,7,0,42354,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,0,0,14,0,0,0,0,0,3,0,0,0,0,0,3,0,26,0,27,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,45,0,0,0,2,1,1,0,18,32,0,0,0,11,0,8,8,14
20,2020-02-11,0,0,0,0,0,0,15,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,7,0,44386,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,0,0,16,0,0,0,0,0,3,0,0,0,0,0,3,0,26,0,28,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,47,0,0,0,2,1,1,0,18,33,0,0,0,12,0,8,8,15
21,2020-02-12,0,0,0,0,0,0,15,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,7,0,44759,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,0,0,16,0,0,0,0,0,3,0,0,0,0,0,3,0,28,0,28,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,50,0,0,0,2,1,1,0,18,33,0,0,0,12,0,8,9,15
22,2020-02-13,0,0,0,0,0,0,15,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,7,0,59895,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,0,0,16,0,0,0,0,0,3,0,0,0,0,0,3,0,28,0,28,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,58,0,0,0,2,1,1,0,18,33,0,0,0,13,0,8,9,16
23,2020-02-14,0,0,0,0,0,0,15,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,7,0,66358,0,0,0,0,0,0,0,0,0,0,0,1,0,1,11,0,0,16,0,0,0,0,0,3,0,0,0,0,0,3,0,29,0,28,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,67,0,0,0,2,1,1,0,18,33,0,0,0,13,0,8,9,16
24,2020-02-15,0,0,0,0,0,0,15,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,7,0,68413,0,0,0,0,0,0,0,0,0,0,0,1,0,1,12,0,0,16,0,0,0,0,0,3,0,0,0,0,0,3,0,43,0,28,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,72,0,0,0,2,1,1,0,18,33,0,0,0,13,0,8,9,16
25,2020-02-16,0,0,0,0,0,0,15,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,7,0,70513,0,0,0,0,0,0,0,0,0,0,0,1,0,1,12,0,0,16,0,0,0,0,0,3,0,0,0,0,0,3,0,59,0,29,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,75,0,0,0,2,1,1,0,20,34,0,0,0,13,0,9,9,16
26,2020-02-17,0,0,0,0,0,0,15,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,8,0,72434,0,0,0,0,0,0,0,0,0,0,0,1,0,1,12,0,0,16,0,0,0,0,0,3,0,0,0,0,0,3,0,66,0,30,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,77,0,0,0,2,1,1,0,22,35,0,0,0,13,0,9,9,16
27,2020-02-18,0,0,0,0,0,0,15,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,8,0,74211,0,0,0,0,0,0,0,0,0,0,0,1,0,1,12,0,0,16,0,0,0,0,0,3,0,0,0,0,0,3,0,74,0,31,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,81,0,0,0,2,1,1,0,22,35,0,0,0,13,0,9,9,16
28,2020-02-19,0,0,0,0,0,0,15,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,8,0,74619,0,0,0,0,0,0,0,0,0,0,0,1,0,1,12,0,0,16,0,0,0,0,0,3,0,2,0,0,0,3,0,84,0,31,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,84,0,0,0,2,1,1,0,23,35,0,0,0,13,0,9,9,16
29,2020-02-20,0,0,0,0,0,0,15,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,8,0,75077,0,0,0,0,0,0,0,0,0,0,0,1,0,1,12,0,0,16,0,0,0,0,0,3,0,5,0,0,0,3,0,94,0,104,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,84,0,0,0,2,1,1,0,24,35,0,0,0,13,0,9,9,16
30,2020-02-21,0,0,0,0,0,0,19,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,9,0,75550,0,0,0,0,0,0,0,0,0,0,0,1,0,1,12,0,0,16,0,0,0,0,0,3,0,18,0,0,1,20,0,105,0,204,0,0,1,0,0,0,22,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,85,0,0,0,2,1,1,0,26,35,0,0,0,15,0,9,9,16
31,2020-02-22,0,0,0,0,0,0,22,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,9,0,77001,0,0,0,0,0,0,0,0,0,0,0,1,0,1,12,0,0,16,0,0,0,0,0,3,0,28,0,0,1,62,0,122,0,433,0,0,1,0,0,0,22,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,85,0,0,0,2,1,1,0,26,35,0,0,0,15,0,13,9,16
32,2020-02-23,0,0,0,0,0,0,22,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,9,0,77022,0,0,0,0,0,0,0,0,0,0,0,1,0,1,12,0,0,16,0,0,0,0,0,3,0,43,0,0,1,155,0,147,0,602,0,0,1,0,0,0,22,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,89,0,0,0,2,1,1,0,28,35,0,0,0,15,0,13,9,16
33,2020-02-24,1,0,0,0,0,0,22,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,10,0,77241,0,0,0,0,0,0,0,0,0,0,0,1,0,1,12,0,0,16,0,0,0,0,0,3,0,61,1,0,1,229,0,159,0,833,1,0,1,0,0,0,22,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,89,0,0,0,2,1,1,0,30,35,0,0,0,51,0,13,13,16
34,2020-02-25,1,0,1,0,0,0,22,2,0,23,0,0,1,0,0,0,0,0,0,0,1,0,11,0,77754,0,0,0,0,1,0,0,0,0,0,0,1,0,1,14,0,0,17,0,0,0,0,0,3,0,95,1,0,1,322,0,170,0,977,11,0,1,0,0,0,22,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,91,0,0,0,6,1,1,1,31,37,0,0,0,51,0,13,13,16
35,2020-02-26,1,0,1,0,0,0,22,2,0,33,0,0,1,0,0,0,1,0,0,0,1,0,11,0,78166,0,0,0,0,3,0,0,0,0,0,0,1,0,2,18,0,1,27,1,0,0,0,0,3,0,139,5,0,2,453,0,189,0,1261,26,0,2,0,0,0,22,0,0,0,0,0,0,0,0,1,0,0,0,1,1,4,2,0,0,0,3,0,0,0,0,1,2,0,0,0,0,93,0,0,0,13,1,2,1,32,40,0,0,0,57,0,13,13,16
36,2020-02-27,1,0,1,0,0,0,23,3,0,33,0,0,1,0,0,0,1,0,0,0,1,0,13,0,78600,0,0,0,0,3,0,0,0,1,0,0,1,1,2,38,0,1,46,3,0,0,0,0,3,0,245,7,0,3,655,0,214,0,1766,43,0,2,0,0,0,23,0,0,0,0,0,0,0,0,1,1,0,0,1,1,4,2,0,0,0,3,0,0,0,0,1,2,1,0,0,0,93,0,0,0,15,1,7,8,32,40,0,0,0,58,0,13,15,16
37,2020-02-28,1,0,1,0,0,0,23,3,0,36,0,1,1,0,0,0,1,0,0,0,1,0,14,0,78928,0,0,0,0,5,0,0,0,1,0,0,1,1,2,57,0,1,48,4,0,0,0,1,3,0,388,7,0,4,888,0,228,0,2337,45,0,2,0,1,0,23,0,0,0,1,0,0,0,0,1,1,1,1,1,6,4,2,0,0,0,3,0,0,0,0,3,2,1,0,0,0,93,0,0,0,32,1,7,8,34,41,0,0,0,60,0,19,20,16
38,2020-02-29,1,0,1,0,0,0,25,9,0,41,0,1,1,0,0,0,2,0,0,0,1,0,20,0,79356,0,0,0,0,6,0,0,0,3,0,0,1,1,3,100,0,1,79,4,0,0,0,1,3,0,593,13,1,7,1128,0,241,0,3150,45,0,4,0,1,1,25,0,0,0,4,0,1,0,0,1,6,1,1,1,15,6,4,0,0,0,3,0,0,1,0,3,2,1,0,0,0,102,0,0,0,45,1,12,18,39,42,0,0,0,68,0,21,23,16
39,2020-03-01,1,0,1,0,0,1,27,14,3,47,0,1,2,0,0,0,2,0,0,0,1,0,24,0,79932,0,0,0,0,7,0,0,3,4,1,6,2,1,6,130,0,3,130,7,0,0,0,3,3,0,978,19,1,10,1694,0,256,0,3736,45,0,10,0,1,1,29,0,0,0,5,0,1,0,0,1,10,1,1,1,19,6,4,0,0,0,3,0,0,3,0,3,2,1,0,0,0,106,0,0,0,84,1,14,27,40,42,0,0,0,74,0,21,36,16
40,2020-03-02,1,0,3,1,0,1,30,18,3,49,0,1,8,0,0,0,2,0,0,0,1,0,27,0,80136,0,0,0,0,7,0,0,3,4,1,6,2,1,6,191,0,3,159,7,0,0,0,6,5,2,1501,26,1,10,2036,0,274,0,4335,56,1,13,0,1,1,29,0,0,0,5,0,1,0,1,1,18,1,1,1,25,6,4,0,0,0,3,0,2,3,0,3,3,8,1,1,0,108,0,0,0,120,1,15,42,41,43,0,0,0,98,0,21,40,16
41,2020-03-03,1,0,5,1,1,1,39,21,3,49,0,1,13,0,0,0,2,0,0,0,1,0,30,1,80261,0,0,0,0,9,0,0,5,6,1,7,2,2,6,204,0,3,196,7,0,0,0,11,5,2,2336,32,2,12,2502,0,293,1,5186,56,1,13,0,1,1,36,0,0,0,5,0,1,0,1,1,24,1,1,1,32,12,5,0,0,0,3,0,2,7,0,3,3,10,1,2,0,110,0,0,0,165,1,21,56,42,43,0,0,0,118,1,27,51,16
42,2020-03-04,1,0,12,1,1,1,52,29,3,52,0,6,23,0,0,0,4,0,0,0,1,0,33,1,80386,0,0,0,0,10,0,0,8,11,1,10,2,2,6,288,0,3,262,9,0,0,2,26,28,2,2922,35,6,15,3089,0,331,1,5621,56,1,13,1,1,1,50,0,0,0,5,0,1,0,1,1,38,3,1,1,56,15,5,0,0,0,3,1,5,8,0,4,3,16,1,4,0,110,0,0,0,222,1,35,90,42,43,0,1,0,149,1,27,86,16
43,2020-03-05,1,0,12,1,1,1,55,41,6,55,0,6,50,0,0,2,4,0,0,0,1,0,37,4,80537,0,0,0,0,10,0,0,12,11,1,13,3,3,12,380,0,4,482,31,0,0,2,34,30,2,3513,35,6,20,3858,0,360,1,6088,58,1,16,1,1,1,50,0,0,0,5,0,1,0,2,1,82,3,1,1,87,16,5,0,0,0,3,1,8,8,0,6,4,21,5,4,0,117,0,2,1,259,1,94,114,44,47,0,1,0,217,1,29,116,16
